clase,precision,recall,f1-score,support,modelo
barata,0.7344110854503464,0.7871287128712872,0.7598566308243727,404.0,svm_linear_c0_5
media,0.5421052631578948,0.5202020202020202,0.5309278350515464,396.0,svm_linear_c0_5
cara,0.7235142118863049,0.7,0.7115628970775095,400.0,svm_linear_c0_5
accuracy,0.67,0.67,0.67,0.67,svm_linear_c0_5
macro avg,0.6666768534981821,0.6691102443577691,0.6674491209844762,1200.0,svm_linear_c0_5
weighted avg,0.6673178729058236,0.67,0.6682122169703856,1200.0,svm_linear_c0_5
barata,0.7276887871853547,0.7871287128712872,0.7562425683709869,404.0,svm_linear_c2
media,0.5490716180371353,0.5227272727272727,0.535575679172057,396.0,svm_linear_c2
cara,0.7305699481865285,0.705,0.7175572519083969,400.0,svm_linear_c2
accuracy,0.6725,0.6725,0.6725,0.6725,svm_linear_c2
macro avg,0.6691101178030062,0.6716186618661867,0.6697918331504803,1200.0,svm_linear_c2
weighted avg,0.6697055083668336,0.6725,0.6705273894478101,1200.0,svm_linear_c2
barata,0.7367205542725174,0.7896039603960396,0.7622461170848268,404.0,svm_rbf_c1_g001
media,0.5703125,0.553030303030303,0.5615384615384615,396.0,svm_rbf_c1_g001
cara,0.741514360313316,0.71,0.7254150702426565,400.0,svm_rbf_c1_g001
accuracy,0.685,0.685,0.685,0.685,svm_rbf_c1_g001
macro avg,0.6828491381952778,0.6842114211421141,0.6830665496219815,1200.0,svm_rbf_c1_g001
weighted avg,0.6834038317095196,0.685,0.6837355751404695,1200.0,svm_rbf_c1_g001
barata,0.75,0.7797029702970297,0.7645631067961165,404.0,svm_rbf_c3_g002
media,0.5686274509803921,0.5858585858585859,0.5771144278606966,396.0,svm_rbf_c3_g002
cara,0.7634408602150538,0.71,0.7357512953367875,400.0,svm_rbf_c3_g002
accuracy,0.6925,0.6925,0.6925,0.6925,svm_rbf_c3_g002
macro avg,0.6940227703984819,0.6918538520518718,0.6924762766645335,1200.0,svm_rbf_c3_g002
weighted avg,0.6946273455618807,0.6925,0.6931011055943183,1200.0,svm_rbf_c3_g002
barata,0.7424593967517401,0.7920792079207921,0.7664670658682635,404.0,svm_poly_c1_d2
media,0.5602094240837696,0.5404040404040404,0.5501285347043702,396.0,svm_poly_c1_d2
cara,0.7312661498708011,0.7075,0.7191867852604829,400.0,svm_poly_c1_d2
accuracy,0.6808333333333333,0.6808333333333333,0.6808333333333333,0.6808333333333333,svm_poly_c1_d2
macro avg,0.6779783235687703,0.6799944161082775,0.678594128611039,1200.0,svm_poly_c1_d2
weighted avg,0.6785858234776635,0.6808333333333333,0.6793152570482518,1200.0,svm_poly_c1_d2
barata,0.7505827505827506,0.7970297029702971,0.773109243697479,404.0,svm_poly_c2_d3
media,0.5675,0.5732323232323232,0.5703517587939698,396.0,svm_poly_c2_d3
cara,0.7628032345013477,0.7075,0.7341115434500648,400.0,svm_poly_c2_d3
accuracy,0.6933333333333334,0.6933333333333334,0.6933333333333334,0.6933333333333334,svm_poly_c2_d3
macro avg,0.6936286616946994,0.6925873420675401,0.6925241819805046,1200.0,svm_poly_c2_d3
weighted avg,0.6942389375299752,0.6933333333333334,0.6932000402635162,1200.0,svm_poly_c2_d3
